Link,Job Title,Company,Date Posted,Location,Requirements
https://ca.indeed.com/rc/clk?jk=98247a10a495e612&bb=ZUBkdfGDHTbH6rlK3puex1Md6AWqIJYTUNwqcmc7I7Mavz0IXp6lib-WAtZ8WROxh_fsxvqtarpJEp3GyfNwdqHWzGqh4dhsSZYOvmP8J6CSe6HFMGXfW39NJlLpFYer&xkcb=SoCX67M3-rXmaigXcz0LbzkdCdPP&fccid=395ab95c58edd861&cmp=Node-App&ti=Data+Science+Intern&vjs=3,Data Science Intern,Node App,EmployerActive 8 days ago,Remote,"['You are curious, ambitious, and you are not afraid of failure. We love moonshots and cutting-edge approaches.', 'Minimum 2 years of professional experience in data science, computer vision, data engineering, or software engineering-related roles.', 'Experience contributing to research in academic settings, including publishing papers in conferences or journals. Undergraduate students with research experience are welcome.', 'Experience in computer vision, LLMs, and advanced quantitative analysis, including regression, classification, and clustering.', 'Experience using SQL or similar big data querying languages', 'Experience with programming languages, such as Python or R', 'Currently enrolled in a full-time degree program at a Canadian University.', 'English not required']"
https://ca.indeed.com/rc/clk?jk=52ecca5a35e93558&bb=ZUBkdfGDHTbH6rlK3puexykAMeGbXorwHdf4I5SKCza6UOjSwG4Qnr-8FDvup7Atvnjv-yh5iPQ4hoqqkxZMT294OQ44INnrTecp95tBl7E2LN_o-R7aR8Yy5U_pCNX1&xkcb=SoBZ67M3-rXmaigXcz0bbzkdCdPP&fccid=0bed8e17bc113980&vjs=3,Data Scientist – Johnson & Johnson Innovative Medicine Commercial Data Sciences,Johnson & Johnson,PostedPosted 8 days ago,"Toronto, ON","['\n\nPhD, or MSc with 3+ years, or BSc with 5+ years of relevant work experience, in Computer Sciences, Statistics, Machine Learning & Artificial Intelligence, Physics, Molecular Biology, Bioinformatics, Computational Informatics, Medical Informatics, Computational Biology, or a related field. \nStrong understanding of statistical analysis, machine learning techniques, and algorithms. \nExperience with data manipulation and visualization libraries (e.g., pandas, Matplotlib, seaborn). \nHands-on experience with Python or R, and SQL or Pyspark. \nStrong working knowledge of machine learning platforms/environments. \nStrong communication skills and ability to communicate complex methods and results to diverse audiences. \nProven track record of publishing relevant predictive modelling results and tools in peer-reviewed journals, conferences, and other scientific proceedings. \nSignificant experience in the modeling of complex datasets in applied business and/or scientific application domains. \nMust have understanding and the ability to interpret ML, quantitative methods applied to real-world data. \nAbility to understand, shape, and measure the business value of solutions, while managing competing stakeholder priorities and ambiguity. \nEnthusiastic about building on and learning new methods and ways to use real-world data to change the practice of medicine. \nPreferred Qualifications: \n\nFamiliarity with large datasets, handling of healthcare relevant datasets (EMR/EHR, registry, insurance claims), and understanding of data analysis workflows. \nExperience implementing AI driven solutions: \nPractical experience in applying machine learning algorithms and models (e.g., regression, classification, clustering, neural networks) \nCloud infrastructure (AWS and/or Azure) and model deployment \nLeveraging both structured and unstructured data \nFamiliarity with open-source and gated/paid model landscape \nBuilding end-to-end LLM powered solutions that drive business value \nExperience working in pharmaceutical or biotech industry with strong knowledge of commercial business process. \nAt Johnson & Johnson, we’re on a mission to change the trajectory of health for humanity. That starts by crafting the world’s healthiest workforce. Through groundbreaking programs and policies, we empower the physical, mental, emotional and financial health of our employees and the ones they love. As such, candidates offered employment must show proof of COVID-19 vaccination or secure an approved accommodation prior to the commencement of employment to support the well-being of our employees, their families and the communities in which we live and work. Johnson & Johnson is an Affirmative Action and Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, or protected veteran status and will not be discriminated against on the basis of disability. For more information on how we support the whole health of our employees throughout their wellness, career and life journey, please visit www.careers.jnj.com #JNJDataScience', 'PhD, or MSc with 3+ years, or BSc with 5+ years of relevant work experience, in Computer Sciences, Statistics, Machine Learning & Artificial Intelligence, Physics, Molecular Biology, Bioinformatics, Computational Informatics, Medical Informatics, Computational Biology, or a related field. ', 'Strong understanding of statistical analysis, machine learning techniques, and algorithms. ', 'Experience with data manipulation and visualization libraries (e.g., pandas, Matplotlib, seaborn). ', 'Hands-on experience with Python or R, and SQL or Pyspark. ', 'Strong working knowledge of machine learning platforms/environments. ', 'Strong communication skills and ability to communicate complex methods and results to diverse audiences. ', 'Proven track record of publishing relevant predictive modelling results and tools in peer-reviewed journals, conferences, and other scientific proceedings. ', 'Significant experience in the modeling of complex datasets in applied business and/or scientific application domains. ', 'Must have understanding and the ability to interpret ML, quantitative methods applied to real-world data. ', 'Ability to understand, shape, and measure the business value of solutions, while managing competing stakeholder priorities and ambiguity. ', 'Enthusiastic about building on and learning new methods and ways to use real-world data to change the practice of medicine. ', 'Familiarity with large datasets, handling of healthcare relevant datasets (EMR/EHR, registry, insurance claims), and understanding of data analysis workflows. ', 'Experience implementing AI driven solutions: ', 'Practical experience in applying machine learning algorithms and models (e.g., regression, classification, clustering, neural networks) ', 'Cloud infrastructure (AWS and/or Azure) and model deployment ', 'Leveraging both structured and unstructured data ', 'Familiarity with open-source and gated/paid model landscape ', 'Building end-to-end LLM powered solutions that drive business value ', 'Experience working in pharmaceutical or biotech industry with strong knowledge of commercial business process. ', 'Familiarity with large datasets, handling of healthcare relevant datasets (EMR/EHR, registry, insurance claims), and understanding of data analysis workflows. ', 'Experience implementing AI driven solutions: ', 'Practical experience in applying machine learning algorithms and models (e.g., regression, classification, clustering, neural networks) ', 'Cloud infrastructure (AWS and/or Azure) and model deployment ', 'Leveraging both structured and unstructured data ', 'Familiarity with open-source and gated/paid model landscape ', 'Building end-to-end LLM powered solutions that drive business value ', 'Experience working in pharmaceutical or biotech industry with strong knowledge of commercial business process. ']"
https://ca.indeed.com/rc/clk?jk=621021f76570f75d&bb=ZUBkdfGDHTbH6rlK3puex8oNqSXs0g0HkomOxLBGZDRMCpMRf8xpe7ZJP-ifp0MGGITmLoQN2edrTJHiRTECJo3eyqy_z4ksqI3_yXjz_-RXWttXDLI8EzfE50bZtjar&xkcb=SoBj67M3-rXmaigXcz0dbzkdCdPP&fccid=3a429036b3725efa&vjs=3,Data Scientist,BMO Financial Group,PostedPosted 3 days ago,"Toronto, ON","[' Consultative approach in engaging internal partners (e.g. business, technology) desired.', ' Strong creative reasoning and computational thinking skills.', ' Clear verbal & written communication skills.', ' Extensive collaboration & team skills.', ' Experience impacting business transformation through modelling.']"
https://ca.indeed.com/rc/clk?jk=13952b43b4f8ea30&bb=ZUBkdfGDHTbH6rlK3puex25TYhrSF_vojltaycI8uBuvXLniMT_3p9ZSpOO3J-8YDH8RtYBwM-ZkIv0e4MHK-X_OqdrFsAAM_kD-5hLrjSyGnUw3sVYx5xR0bMAzgQpe&xkcb=SoDX67M3-rXmaigXcz0cbzkdCdPP&fccid=cbec9127290b648c&vjs=3,Junior Data Analyst,Bklis,PostedPosted 1 day ago,"Toronto, ON","['Bachelor’s degree in Data Science, Statistics, Mathematics, Computer Science, or a related field.', 'Proven experience or internship in data analysis or a similar role is preferred.', 'Proficiency in data analysis tools and software (e.g., Excel, SQL, Python, R).', 'Strong analytical and problem-solving skills.', 'Excellent attention to detail and accuracy.', 'Good communication skills with the ability to present complex data clearly.']"
https://ca.indeed.com/rc/clk?jk=c8c994e97fc9acfe&bb=ZUBkdfGDHTbH6rlK3puex52Me-L2VhSlyrqHqXQEtLZolGH8P0AeJ9AAOu0IEMx-LWh4_Qeh0M2Pm_CPKJmeo5L8nHaOthP2rldMD9zLiEgL26hL3cLMhIYu8E0CR8nM&xkcb=SoAt67M3-rXmaigXcz0XbzkdCdPP&fccid=f26316af5f8654df&cmp=Data-Eaver&ti=Data+Analyst&vjs=3,Data Analyst,Data Eaver,EmployerActive 7 days ago,Remote,"['Experience leading data science and analytics work, including digital and non-digital services.', 'Experience with leadership, communications, relationship building, and planning.', 'Experience with current methodologies in analytics, data visualizations, data modeling, and storytelling.', 'Experience working with cross-functional teams to understand detailed requirements and align these requirements with product vision and user needs.', 'Experience working in a complex enterprise environment (10,000 employees or greater).', 'Experience with agile projects in a public sector organization.', 'Experience with web development and digital product design.', 'Experience providing analytics support to user experience, customer experience, or service design teams.', 'Experience with quantitative research methods such as surveys.', 'Experience developing and maintaining relationships with multiple clients and stakeholders, including negotiating agreements and resolving conflicts.']"
https://ca.indeed.com/rc/clk?jk=506572e0862401e4&bb=ZUBkdfGDHTbH6rlK3puex5gxuW2w716VpCa4FOgOtaAtDM47Xex3OsQ9IMURKV47oY-oKWR2MEhjakLA-j8Iz6iDMOhRlkZfpaIvMu4tNJhy5bKW8M9FwXhnQc4ylEph&xkcb=SoAE67M3-rXmaigXcz0VbzkdCdPP&fccid=d664fc7f6e9e5c48&cmp=Tekshapers-Inc&ti=Data+Scientist&vjs=3,Data Scientist,Tekshapers Inc,EmployerActive 2 days ago,Remote,['8 hour shift']
https://ca.indeed.com/rc/clk?jk=06a1f04cd8d89f14&bb=ZUBkdfGDHTbH6rlK3puexwFsTwRUEGE0l08PuyBFrEpBZR9frocEm6dvtstzMBJLdG9akR5ABCbIC-vEC3quBYAoJgqYzIrAlDbbfCNgB7Pu5zByMCsno6yzU_-60NCt&xkcb=SoC_67M3-rXmaigXcz0qbzkdCdPP&fccid=3432e64f4052f260&vjs=3,Data Scientist,Lydia AI,PostedPosted 1 day ago,"Toronto, ON","[' Develop data collection plans and ensure integrity of data collected through all stages of acquisition and processing (e.g. ground truth generation, normalization, and transformation).', ' Quantitatively test hypotheses about data used to create models that increase the performance of predictive models.', ' Combine expert knowledge of statistical methodology and analysis with advanced programming skills to perform exploratory data analysis to uncover patterns in user’s health and activities.', ' Train ML models on structured, unstructured and time series data coming from electronic health record (EHR) systems, insurance claims, and wearable devices.', ' Contribute to data quality control, model validation and model explainability investigation.', ' Graduate degree (MS or equivalent) or higher in a quantitative field such as Mathematics, Statistics, Biostatistics, Computational biology or Medical Sciences.', ' Experience with databases (SQL and/or NoSQL).', ' Programming experience in Python; knowledge of standard data analysis tools (for example Pandas, Numpy, and Polars); programming experience in Typescript/Javascript or experience with other analytics software (R, SAS, STATA, MATLAB, Mathematica) is a plus.', ' Familiarity with machine learning frameworks and libraries', ' General knowledge of building AI/GenAI systems', ' Familiarity with data structures, data modeling, and software architecture', ' Creative in finding new solutions as well as designing innovative methods, systems, and processes.', ' Broad understanding of health data or actuarial science is an asset.', ' Ability to conduct independent research.', ' Good interpersonal and communication skills.']"
https://ca.indeed.com/rc/clk?jk=2e47ebadaa85dd8c&bb=ZUBkdfGDHTbH6rlK3puex114dYt3cW8dgWFgUzReHh4CoVvvq1daaFjsI_A1bVbIumAJH5a6baNvxd_oXkrSY1CTI1sFvNr6vJjwc9iFhNX4c9GS8S3n-ynUSAzk62on&xkcb=SoAi67M3-rXmaigXcz0pbzkdCdPP&fccid=2b42faad345a6de3&vjs=3,Intern Associate Business Data Scientist,Kinaxis Inc.,PostedPosted 1 day ago,Remote,"[' Ability to understand customers business’ and supply chain needs and leverage it to effective design solutions to drive business value', ' Ability to effectively communicate with executives and business stakeholders to shape and influence decision making', ' Conceptual knowledge of AI/ML techniques and eager to learn and adopt new approaches and methodologies', ' Hands-on experience with relational databases (e.g. Oracle, MySQL, MS Sql Server, PostgreSQL), BI/data analysis. Working knowledge of distributed computing techniques', ' Working knowledge of ML stack such as Kubernetes, Project Jupyter, Kafka and workflow engine etc.', ' Ability to translate planning processes to different industrial environments such as B2B, Life Sciences/ FMCG/ Automotive industry', ' Excellent interpersonal, presentation and client relationship building and facilitation skills (meeting sessions, conflict resolutions, brainstorming etc.)']"
https://ca.indeed.com/rc/clk?jk=539a380caf96a002&bb=ZUBkdfGDHTbH6rlK3puexx-Tmehb3HOGGMK3oNVYe08cvpQs7pxsPdrSDL0Z6TQTi9p6fi1GJXIJfYvkVrgkWyGamTptehiEmTwLDeQuYDFQFgzM1mfqvQxz8fWXCu45&xkcb=SoAY67M3-rXmaigXcz0vbzkdCdPP&fccid=1747adf6142beb48&vjs=3,Data Scientist - GenAI,Manulife,PostedPosted 5 days ago,"Hybrid work in Toronto, ON","[""Bachelor', Master's degree, or Ph.D. in Computer Science, Data Science, Statistics, or a related field. "", 'Proven experience as a Data Scientist, with a strong focus on machine learning, generative AI, prompt engineering, and RAG applications. ', 'Solid understanding of machine learning algorithms, statistical modeling, and data analysis techniques. ', 'Proficiency in programming languages such as Python and experience with machine learning libraries/frameworks (e.g., PyTorch, scikit-learn, Hugging Face). ', 'Strong problem-solving skills and the ability to think critically and creatively to develop innovative solutions. ']"
https://ca.indeed.com/rc/clk?jk=6b9af3b5527a6766&bb=ZUBkdfGDHTbH6rlK3puex4SqjIkA9EjXDIQpNJL6RNga8Vj5Hs1g2n8xyOXbGcD0RDcVa0O_ZC1Ryx_uxNlQeuNU3uYDApay5PRnNZlcd_c1lCKRidgYEg%3D%3D&xkcb=SoCs67M3-rXmaigXcz0ubzkdCdPP&fccid=3a71a4d2f7990a25&vjs=3,ASSOCIATE DATA SCIENTIST -,Allstate,PostedPosted 12 days ago,"Hybrid work in Markham, ON","['Minimum of 3 years of Machine Learning and analytics experience within a professional services firm or similar industrial environment.', "" Bachelor's degree or higher from an accredited college in a Mathematics, Statistics, Actuarial Sciences, Computer Science, Physics, Engineering or a related field ."", ' Strong programming skills, ability to write production level code in Python.', ' Working experience in Machine learning algorithms, model implementation and optimization to solve Regression, Classification and Segmentation problems.', ' Experience with ML frameworks/libraries e.g. Scikit-learn, Pandas, Matplotlib, Seaborn, Tensor flow or PyTorch.', ' Business and analytics acumen to run and interpret the results of models - turn large amounts of complex, detailed information into clear summaries and business recommendations.', ' Excellent collaboration skills and the ability to work in a team environment and across multiple sites and business units.', ' Excellent communication and interpersonal skills - be able to effectively communicate complex results to a business audience not familiar with complex data and analytics.']"
